company_name,sector,geography,stage,mandate_type,revenue,EBITDA,capital_sought,engagement_fit_score,status,disqualify_reason,match_1_investor,match_1_score,match_2_investor,match_2_score,match_3_investor,match_3_score
NovaBridge Analytics,SaaS,North America,Growth,Minority Equity,8500000,1200000,5000000,3.0,Qualified,,Summit Peak Capital,9.6,,,,
TerraCore Energy,Energy,Europe,Late Stage,Majority Equity,42000000,7800000,25000000,2.6,Qualified,,Titan Equity Partners,9.6,NordVest Partners,9.55,Cascade Renewables Fund,6.62
Apex Medtech,Healthcare,North America,Growth,Minority Equity,12000000,2100000,8000000,3.0,Qualified,,Meridian Growth Fund,9.55,Cornerstone Buyout Fund,5.45,,
ClearPath Logistics,Logistics,Asia,Early Stage,Minority Equity,3200000,-400000,2000000,1.0,Disqualified,DISQUALIFIED: Negative EBITDA + low seriousness,,,,,,
Vortex Fintech,Fintech,North America,Growth,Majority Equity,18000000,3600000,12000000,3.0,Qualified,,Orion Capital Group,9.6,Summit Peak Capital,9.1,,
MegaScale Manufacturing,Industrials,Europe,Late Stage,Full Sale,95000000,14200000,80000000,2.6,Qualified,,Titan Equity Partners,9.6,NordVest Partners,9.55,,
Drift Commerce,E-commerce,North America,Early Stage,Minority Equity,1800000,-200000,1500000,1.2,Disqualified,DISQUALIFIED: Low mandate clarity AND low process discipline,,,,,,
SkyBridge Construction,Real Estate,Middle East,Growth,Majority Equity,22000000,3100000,15000000,2.4,Qualified,,Eastern Bridge Fund,9.5,,,,
LumenBio Sciences,Biotech,Europe,Early Stage,Minority Equity,5500000,-800000,4000000,2.4,Qualified,,Meridian Growth Fund,8.05,,,,
Granite Capital Partners,Financial Services,North America,Late Stage,Full Sale,60000000,11000000,45000000,3.0,Qualified,,Orion Capital Group,9.6,Cornerstone Buyout Fund,9.6,,
PinPoint EdTech,Education,Asia,Growth,Minority Equity,9000000,900000,6000000,2.0,Qualified,,BlueStar Ventures,9.55,Pacific Rim Ventures,9.2,,
OmniRetail Group,Retail,Europe,Late Stage,Majority Equity,35000000,4200000,20000000,3.0,Qualified,,NordVest Partners,9.55,,,,
SolArc Renewables,Energy,North America,Growth,Minority Equity,14000000,2800000,10000000,3.0,Qualified,,Cascade Renewables Fund,9.6,,,,
ZenStack DevTools,SaaS,Asia,Early Stage,Minority Equity,2100000,100000,3000000,2.4,Qualified,,BlueStar Ventures,9.55,Pacific Rim Ventures,9.5,,
